XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAINFALL,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,TAGAP_DRY,TAGAP_WET,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_FISH,LF_CROP,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,FP_WRK,FP_FEMWRK,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,LA_RICE1HA,LA_CULT1HA,MA_INDACT,MA_PROXROAD,SW_PROXRIV,SW_PONDS,FISHPRO
308600,1487400,1021007,Kbal Krabei,2,0.71459866,5,28,0,0,2845688.889,1999.339722,1760.3396,54762.9038799999,0,131,0.955224,551.724,338.462,0,385.7142857,0,0,0.667093674,242.8571429,0,0,225.8064516,193.5483871,580.6451613,1,2,37.03704,0,0,239.0289654,23052.7797099999,1,0
387798,1391026,15020308,Prey Kdei Leu,2,-9999,5,30.8,0,0,0,2195.581543,1821.161255,43757.6136199999,0,154,0.811765,687.5,11.236,18.69158879,1084.11215,0,65.42056075,1.261040957,130.8411215,0,0,209.3023256,162.7906977,627.9069767,2.5,0,625,75,0,37.35564524,7780.152546,0,0
488210,1405008,6030205,Phum Ti Pram,3,-9999,5,31.4,0,0,2032634.921,1603.653687,1639.412231,42003.27756,0,187,0.798077,750,0,0,0,0,353.3834586,0,0,0,0,81.39534884,52.3255814,866.2790698,0,0,0,0,1.524390244,127.3834677,78281.9781099999,0,0
420102,1436132,17040101,Sdau,1,4.25827217,5,22.8,0,0,4878323.80999999,2707.638428,3901.83667,21502.98701,0,187,0.815534,410.959,414.141,158.9595376,469.6531792,0,92.48554913,1.391892073,14.45086705,0,0,0,372.8813559,0,1,0,350.87719,175.4386,0,1312.959078,63157.0904799999,1,1
453118,1359272,4060205,Toap Tbaeng,2,-9999,5,30.8,0,0,2845688.889,3060.413574,2219.487305,35851.1174899999,0,194,0.94,953.846,0,0,1058.252427,631.0679612,97.08737864,1.110108397,0,0,0,200,155.5555556,644.4444444,0.8,0,818.18182,0,0,215.4646985,20836.61778,0,0
455138,1358087,4060712,Toap Tbaeng,2,-9999,5,30.8,0,0,1626107.93699999,1961.737671,2293.992188,37382.0106499999,0,194,0.94,953.846,0,0,1362.126246,279.0697674,93.02325581,0.86680566,16.61129568,0,0,0,0,0,0.8,0,818.18182,0,0.58411215,65.60096983,21239.09127,0,44
501864,1395532,6070204,Ou Kaoh Kokir,2,-9999,5,32.6,5284850.79399999,0,0,2609.608154,2552.268311,54374.31521,0,208,1.039216,478.261,178.947,0,634.1463415,0,178.8617886,0.921928793,203.2520325,0,0,0,0,0,0.1,0,465.11628,139.53488,0,588.911654,80952.5919699999,0,0
488254,1405097,6030204,Phum Ti Buon,3,-9999,5,31.4,0,0,406526.9842,1603.653687,1639.412231,42067.8788799999,0,217,0.886957,842.105,0,0,0,0,196.3190184,0,0,0,0,81.96721311,415.3005464,502.7322404,0,0,0,0,27.81715095,107.1313288,78378.4555499999,0,0
488256,1405085,6030203,Phum Ti Bei,3,-9999,5,31.4,0,0,406526.9842,1603.653687,1639.412231,42066.8467499999,0,220,1.056075,1000,0,0,0,0,123.3766234,0.198515243,6.493506494,0,0,144,144,712,0,0,0,0,36.54344878,113.0237243,78370.5411299999,0,0
294300,1509700,1040104,Proput,2,0.49843749,5,30.2,813053.9684,0,0,1751.359619,1033.183838,80240.85287,0,227,1.063636,420.455,12.658,0,967.4796748,0,24.3902439,0.812242426,430.8943089,0,0,181.8181818,113.6363636,704.5454545,1,0,136.36364,113.63636,1.420454545,473.9232757,14482.25958,0,0
386052,1393052,15020301,Kampong Roka,2,1.0255208,5,30.6,0,0,813053.9684,1321.700317,1643.892212,44183.8198199999,0,227,0.991228,910.448,36.364,76.92307692,1027.972028,0,272.7272727,1.461910264,545.4545455,0,0,150.9433962,226.4150943,622.6415094,3,0,833.33333,0,17.5191666,391.4375596,8376.494872,11,15
385711,1387899,15020101,Tuol Char,2,3.18924642,5,32,0,3252215.873,0,1730.733887,1775.320313,47241.77726,0,237,0.942623,550.562,372.549,0,1145.631068,0,58.25242718,0.587897916,145.631068,0,0,288.4615385,19.23076923,692.3076923,1.5,2,600,0,0,71.37067266,4164.194351,0,1
388051,1391126,15020309,Prey Kdei Kandal,2,0.49687499,5,30.8,0,813053.9684,0,2195.581543,1821.161255,43491.29679,0,238,0.687943,616.667,0,42.68292683,847.5609756,213.4146341,103.6585366,1.363669889,0,0,0,166.6666667,148.1481481,685.1851852,2,0,400,300,6.25,6.880079,8031.233574,0,7
383936,1388210,15050803,Ou Ba Krang Kandal,2,2.9078126,5,32,0,406526.9842,0,1570.035522,1399.810425,48532.14665,0,242,1.016667,583.333,90.164,0,543.75,18.75,612.5,1.011752303,131.25,0,0,137.9310345,172.4137931,689.6551724,2,0,380.95238,0,1.984126984,3.86377835,3125.770757,7,0
