XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_RICE,LF_VEGE,LF_LSC,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,RYLD_DANDW,RYLD_RANDI,LA_RICE1HA,LA_CULT1HA,INDAGRIM,A_IRRIC,A_IRRIR,A_IRRIP,A_IRRIW,MA_INDACT,MA_PROXROAD,TAGAP_DRY,TAGAP_WET,SW_PROXRIV,SW_PONDS,GW_DWELL,GW_BOREW,IRRI_SCH,IRRI_HEAD
376093,1479802,17100301,Trapeang Seh,3,-9999,5,18.2,2439161.90499999,0,0,35696.6458199999,635.92622,10572,1.003031,799.103,0,7.563399081,0,0,60.3588907,0.487947717,1.63132137,85.93155894,184.7908745,729.2775665,1.5,0,-1,0,2.80674,0,0,0.215,0,0,0,3.600691617,140.8956199,1995.130615,1457.099609,77472.3659699999,0,0,5,0,No
378699,1477072,17100103,Chong Kausu,3,-9999,5,17.8,3252215.873,0,0,35675.67581,116.68322,10458,0.893193,706.038,14.493,1.97461213,3.244,0,62.76445698,0.908316604,10.43723554,0,0,0,1,0,-0.9944,-1,0,0,0.24377073,0,0,0,0,3.702503626,25.35520083,1811.255005,541.5118408,78580.5224599999,0,15,0,0,No
281000,1503500,1060201,Kampong Svay,3,1.39999998,5,32.8,0,2032634.921,406526.9842,86531.5063999999,0,7039,0.891696,932.02,3.66,0,4.126,4.126,180.3398058,0.786992747,160.4368932,73.81121363,33.35699077,892.8317956,0,0,-0.5763,-1,0,35.55556,1.937800067,0,0,0,0,10.24433314,47.91008716,2395.93457,1125.341797,1390.923476,0,0,0,0,No
305100,1449100,2031001,Preaek Moha Tep,3,-9999,5,33.4,0,0,406526.9842,46881.06863,0,6816,1.085679,707.191,4.329,7.741935484,0,7.742,672.9032258,0.36455566,50.64516129,23.82620883,132.4456903,843.7281009,3,3.5,-1,0,0,0,0.55549694,0,0,0,0,0,104.6021686,2405.185791,883.1662598,835.2725689,0,0,0,0,No
305000,1447000,2031004,Kammeakkar,3,-9999,5,33.4,0,0,813053.9684,47231.91217,0,6785,1.024165,662.849,0,0,0,0,175.3722524,0,0,161.9512195,142.4390244,695.6097561,0,0,-0.7273,0.3333,0,0,0,0,0,0,0,1.992498442,2.53103799,2479.946045,897.4032593,412.1406744,0,0,0,0,No
377685,1476206,17100401,Voat Bour,3,-9999,5,18,406526.9842,406526.9842,0,34342.2461699999,0,6691,0.998507,787.796,0,0,0,0,200.5930947,0.474729185,44.69392078,43.88984509,38.72633391,917.383821,0,0,0.4211,-1,0,0,0,0.6364,0,0,0,10.01331352,246.9744736,1815.393311,654.4009399,77286.29364,0,0,7,0,No
382700,1385700,15050401,Peal Nheaek Muoy,3,-9999,5,32.6,0,0,0,50969.6961,0,6313,0.662191,671.552,7.564,0,0,0,282.2603317,0.697613326,24.45881361,0,0,0,2,0,-1,0,0,0,0.217627856,0,0,0,0,25.63274061,85.96659308,1998.506836,1155.028931,436.4453022,0,0,0,0,No
375819,1475711,17100210,Vihear Chen,3,-9999,5,18.2,0,813053.9684,0,32619.88391,0,6080,1.137834,807.925,3.642,6.063668519,7.327,7.58,82.87013643,1.23137873,32.59221829,0,0,0,2,4,0.4211,-1,4.17711,8.35422,0.083542189,0.6364,0,0,0,8.676589106,69.83018534,1613.369385,885.1245117,75395.91283,0,0,9,0,Yes
303500,1448700,2030104,Tuol Ta Aek,3,-9999,5,33.4,0,0,813053.9684,48513.13291,0,6075,0.870958,767.571,0.859,0.93479785,0,0,172.7039028,0.628853392,44.40289787,48.30421377,139.7738952,811.9218911,0,0,-0.9871,-1,0,0,0.539951704,0,0,0,0,1.591017829,127.8478672,2239.091064,994.6308594,633.7666166,0,0,0,0,No
279472,1502392,1060505,Ou Ambel,3,-9999,5,33,0,406526.9842,406526.9842,87161.40324,0,6067,0.986575,376.629,6.55,199.7720148,5.7,75.52,343.1176973,1.438714508,135.3662012,96.4840556,73.58953393,829.9264105,1.5,1.5,-1,0,164.30172,74.6826,4.879229666,0,0,0,0,7.40861796,102.7197125,2587.702148,1175.391724,251.7464521,0,35,0,0,No
376095,1478055,17100208,Sala Kansaeng,3,-9999,5,18.2,2032634.921,0,0,34440.61557,23.60718,5897,0.970264,468.966,5.727,1.224364861,0,0,299.6632997,0.224355422,15.91674319,33.70786517,8.42696629,957.8651685,0,0,-0.2857,0.68,0,0,0.463601747,0,0.5556,0,0,8.440874271,34.98723149,1634.737549,565.4044189,76690.99837,0,6,5,0,No
414013,1389053,15030502,Phum Pir,1,2.62075901,3,29.2,0,0,1626107.93699999,27988.70361,0,5826,0.77622,470.509,0,8.108108108,146.163,111.246,40.54054054,0.697079639,8.108108108,78.74015748,42.39854634,878.8612962,1.5,0,0.9869,-1,41.85448,61.17193,0,0,0,0,0,2.293577982,42.45198459,1595.846924,2123.912598,25768.2565499999,0,0,0,0,Yes
372917,1465316,17100702,Phum Pir,3,12.03229141,3,19.6,0,0,0,24145.51149,0,5826,0.77622,470.509,0,0,146.163,111.246,9.118541033,0.755648131,7.598784195,0,0,0,1.5,0,0,0,41.85448,61.17193,0,0,0,0,0,0,434.7568383,2734.985596,3437.508545,65914.41461,0,0,0,0,No
377450,1478264,17100107,Mondol Bei,3,-9999,5,18.2,813053.9684,0,0,35555.30619,599.64881,5821,0.990766,724.933,5.016,0,17.085,0,330.8309604,0.546676021,38.05332643,86.35097493,169.9164345,743.7325905,1,0,-0.9944,-1,0,0,0,0,0,0,0,9.311795957,427.9223248,1789.338623,684.8046875,77996.4244199999,0,5,0,0,No
376061,1474432,17100402,Voat Svay,3,-9999,5,18.2,0,1626107.93699999,0,31954.0562099999,0,5360,0.904762,804.779,2.606,13.74775852,15.242,0,294.3813509,0.805327235,0.298864316,19.12260967,42.74465692,938.1327334,2,3,0.4211,-1,0,0,1.288936627,0.6364,0,0,0,10.56687223,517.6869144,1822.914429,1005.503479,75042.9742399999,0,0,12,1715187.63671,Yes
304100,1447700,2030102,Ou Ta Kam Pir,3,-9999,5,33.6,0,0,0,48030.73893,0,5340,0.891605,848.66,0,1.749781277,0,4.083,99.4459026,0.942823429,64.45027705,46.51162791,180.9908999,772.4974722,0,0,-1,0,3.996,2.997,0,0,0,0,0,5.628380906,162.0405852,2268.805176,1324.248169,24.66823866,5,0,0,444632.132711999,No
377684,1478135,17100106,Treang,3,-9999,5,18.2,813053.9684,0,0,35636.1506099999,0,4959,1.068836,531.234,16.745,0,3.858,10.873,543.6688881,0.380109952,38.93370747,165.1459854,79.37956204,755.4744526,1,0,-0.9944,-1,0,0,0,0,0,0,0,4.779365863,428.8322875,2016.405884,685.2850952,78148.0348499999,0,5,14,0,No
280324,1505342,1060205,Souphi,3,2.13191295,5,32.6,0,1219580.953,5691377.77799999,88151.70337,0,4946,1.286639,157.977,46.169,27.97202797,2.622,2.622,278.4090909,0.927382625,200.6118881,96.96969697,95.95959596,807.0707071,1,0,-0.5763,-1,1.67364,3.34728,4.986268972,0,0,0,0,14.51624329,623.2407132,2223.9021,1267.127686,3091.973353,0,19,0,0,No
304000,1449700,2030903,Kab Kou Thmei,3,-9999,5,33.4,0,0,813053.9684,47922.25882,0,4891,0.968209,551.724,44.879,21.2477396,1.808,4.973,169.9819168,0.97869628,224.6835443,33.33333333,237.8787879,728.7878788,2.5,0,-1,0,40.81633,5.44218,0,0,0,0,0,2.218909789,85.45864827,1960.813965,1195.234131,403.8922559,0,0,0,0,No
378033,1478082,17100102,Boeng Doun Pa,3,0.33750001,5,17.8,2439161.90499999,0,0,35854.79194,417.1123,4733,0.969621,763.953,25.086,0,0,0,914.07556,0,0,70.09345794,128.9719626,800.9345794,1,0,-0.9944,-1,0,0,0,0,0,0,0,2.374636588,276.2196584,2016.405884,685.2850952,78436.4922599999,0,0,9,0,No
303103,1451522,2030401,Chamkar Samraong Muoy,3,0.89951509,5,33.2,0,0,5284850.79399999,48701.2416299999,0,4702,1.003409,571.945,28.629,222.3692919,209.795,33.091,267.7035076,1.497762506,138.9808074,35.30633437,219.1069574,745.5867082,2,2,-1,0,208.43091,5.8548,2.929780529,0,0,0,0,6.571537341,798.9162518,1407.753052,1071.860107,2172.104539,15,5,0,0,No
287500,1478200,2020701,Boeng Pring,2,0.6476326,5,32.8,0,0,9756647.61999999,68772.83468,2.05339,4696,0.964854,693.069,104.363,793.8903202,76.923,4.417,195.4361428,1.404659453,195.0680898,164.1641642,268.2682683,567.5675676,2.8,3.2,-1,0,169.40452,0,30.59741572,0.5346,0,0,0,2.780012522,173.6641434,1658.652466,1383.320557,343.5114984,285,6,0,9647375.15606999,No
378530,1476680,17100406,Ta Vien,3,-9999,5,17.8,813053.9684,0,0,35291.5847199999,0,4544,0.897286,563.754,6.208,4.81540931,26.003,0,432.1027287,0.350664783,0.963081862,52.38095238,35.71428571,911.9047619,2,0,0.4211,-1,9.37866,988.27667,0.956492741,0.6364,0,0,0,6.731399118,342.893972,1596.118896,414.0558167,78254.06281,0,0,0,0,No
