XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_CROP,LF_FISH,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,LAT_NOIMPR,LAT_IMPR,WA_NEAR,WA_WITHIN,WS_PUR,WS_WELL,WS_POND,WS_RIV,WS_RAINS,WT_FILT,WT_BOIL,WT_CHLTT,WT_SOLTT,MA_INDACT,MA_PROXROAD,WA_AWAY,WS_UNSAFE,WT_UNTREAT
308600,1487400,1021007,Kbal Krabei,2,0.71459866,5,28,131,0.955224,551.724,338.462,385.7142857,0,0,0,0.667093674,242.8571429,225.8064516,193.5483871,580.6451613,0,0,0,0,0,0,1000,0,0,0,185.1851851852,0,0,0,239.0289654,1000,1000,815
387798,1391026,15020308,Prey Kdei Leu,2,-9999,5,30.8,154,0.811765,687.5,11.236,1084.11215,18.69158879,0,65.42056075,1.261040957,130.8411215,209.3023256,162.7906977,627.9069767,1000,750,811,0,0,0,0,1000,0,0,1000,0,0,0,37.35564524,189,1000,0
488210,1405008,6030205,Phum Ti Pram,3,-9999,5,31.4,187,0.798077,750,0,0,0,0,353.3834586,0,0,81.39534884,52.3255814,866.2790698,1000,1000,0,1000,1000,0,0,0,0,0,0,0,0,1.524390244,127.3834677,0,0,1000
420102,1436132,17040101,Sdau,1,4.25827217,5,22.8,187,0.815534,410.959,414.141,469.6531792,158.9595376,0,92.48554913,1.391892073,14.45086705,0,372.8813559,0,17.54386,17.54386,280,0,0,0,NA,NA,350.8771929825,0,175.4385964912,0,0,0,1312.959078,720,NA,825
453118,1359272,4060205,Toap Tbaeng,2,-9999,5,30.8,194,0.94,953.846,0,1058.252427,0,631.0679612,97.08737864,1.110108397,0,200,155.5555556,644.4444444,181.81818,181.81818,231,718,0,1000,0,0,0,522.7272727273,340.9090909091,0,113.6363636364,0,215.4646985,51,0,23
455138,1358087,4060712,Toap Tbaeng,2,-9999,5,30.8,194,0.94,953.846,0,1362.126246,0,279.0697674,93.02325581,0.86680566,16.61129568,0,0,0,181.81818,181.81818,779,27,0,NA,0,0,0,NA,227.2727272727,0,0,0.58411215,65.60096983,195,0,NA
501864,1395532,6070204,Ou Kaoh Kokir,2,-9999,5,32.6,208,1.039216,478.261,178.947,634.1463415,0,0,178.8617886,0.921928793,203.2520325,0,0,0,697.67442,69.76744,452,405,0,1000,0,0,0,395.3488372093,604.6511627907,0,0,0,588.911654,143,0,0
488254,1405097,6030204,Phum Ti Buon,3,-9999,5,31.4,217,0.886957,842.105,0,0,0,0,196.3190184,0,0,81.96721311,415.3005464,502.7322404,1000,1000,69,875,1000,0,0,0,0,0,0,0,0,27.81715095,107.1313288,14,0,1000
488256,1405085,6030203,Phum Ti Bei,3,-9999,5,31.4,220,1.056075,1000,0,0,0,0,123.3766234,0.198515243,6.493506494,144,144,712,1000,1000,0,30,1000,0,0,0,0,212.7659574468,212.7659574468,0,0,36.54344878,113.0237243,970,0,574
294300,1509700,1040104,Proput,2,0.49843749,5,30.2,227,1.063636,420.455,12.658,967.4796748,0,0,24.3902439,0.812242426,430.8943089,181.8181818,113.6363636,704.5454545,68.18182,0,179,77,0,0,0,1000,0,0,68.1818181818,0,0,1.420454545,473.9232757,744,1000,932
